what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1604778282433
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1604778282433
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1604778282433
java.vm.specification.version,sysinfo,,,"1.0",1604778282433
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1604778282433
java.vm.version,sysinfo,,,"19.0-b09",1604778282433
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1604778282750
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1604778282812
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1604778282913
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1604778282966
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1604778285141
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1604778285705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604778394445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604778697736
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1604778699974
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1604778703084
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1604778706882
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1604778707114
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1604778707430
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1604778709120
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1604778709367
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1604778709374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604778709421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604778710895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604778802210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604779534741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604779541192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604780189970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604780201940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604780214716
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1604780214881
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1604780215094
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1604780215969
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1604780216291
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1604780227612
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1604780227613
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1604780227614
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1604780227615
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1604780227616
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1604780227617
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1604780227618
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1604780227619
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1604780227620
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1604780227622
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1604780227623
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1604780227624
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1604780227625
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1604780227625
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1604780227626
